BOOKING_ID,USER_ID,NAME,TRANSPORT_TYPE,BUS_PACKAGE,TRAIN_PACKAGE,TRAIN_CLASS,BOOKING_DATE,TOTAL_COST,ScheduleChoice
1,5,Areesha,Bus,Duo,,,11/17/2025,2880,2
2,6,Bilal,Train,,Group,Business,11/17/2025,4320,3
3,7,Fatima,Bus,Group,,,11/18/2025,2700,2
4,8,Hamza,Train,,Duo,Business,11/18/2025,4480,1
5,9,Zara,Bus,Duo,,,11/19/2025,2880,2
6,10,Ali,Train,,Solo,Business,11/19/2025,2920,3
7,5,areesha,Bus,Solo,,,11/18/2025,2300,1
8,5,areesha,Bus,Solo,,,11/18/2025,2300,1
9,10,ali,Bus,Group,,,11/18/2025,7900,2
10,6,bilal,Bus,Group,,,11/18/2025,7900,3
11,7,fatima,Train,,Solo,Economy,11/18/2025,2600,2
12,8,hamza,Train,,Duo,Business,11/23/2025,5120,2
13,9,zara,Bus,Solo,,,11/23/2025,2300,3
14,10,ali,Bus,Duo,,,11/24/2025,3880,3
15,5,areesha,Train,,Solo,Business,11/24/2025,2920,3
16,6,bilal,Bus,Duo,,,11/29/2025,3880,1
17,7,fatima,Bus,Group,,,2025-11-29,9480,2
18,9,zara,Bus,Duo,,,2025-11-29,3880,1
20,7,fatima,Bus,Group,,,2025-11-30,4740,1
20,10,ali,Train,,Solo,Business,2025-11-30,2920,2
21,10,ali,Train,,Duo,Business,2025-11-30,5120,2
22,10,ali,Train,,Duo,Business,2025-11-30,5120,2
23,10,ali,Bus,Duo,,,2025-11-30,3880,2
24,9,zara,Bus,Solo,,,2025-11-30,2300,1
25,9,zara,Bus,Duo,,,2025-11-30,3880,1
26,5,areesha,Bus,Solo,,,2025-11-30,2300,3
27,8,hamza,Train,,Duo,Economy,2025-11-30,4480,2
28,5,areesha,Bus,Group,,,2025-11-30,7900,1
29,6,bilal,Train,,Duo,Economy,2025-11-30,4480,3
30,5,areesha,Bus,Group,,,2025-11-30,4740,3
